Date,Url Clicks,Impressions,URL CTR,Average Position
2026年3月29日,69,3923,0.017588580168238593,15.208513892429263
2026年2月14日,75,4478,0.016748548459133542,13.068780705672175
2026年4月27日,116,5571,0.02082211452162987,11.910967510321306
2026年3月4日,185,9628,0.019214790195263814,10.058890735355215
2026年4月14日,120,8050,0.014906832298136646,12.605341614906832
2025年12月15日,84,3144,0.026717557251908396,20.78435114503817
2026年4月26日,90,4523,0.01989829759009507,11.969268184833075
2026年3月12日,131,9717,0.013481527220335495,9.806730472368015
2026年4月19日,106,6568,0.016138855054811205,11.571559074299634
2026年4月7日,123,7361,0.016709686183942397,12.498845265588914
2026年3月9日,171,8975,0.01905292479108635,10.01025069637883
2026年4月15日,125,7659,0.01632066849458154,12.602689646167907
2026年4月12日,100,6972,0.01434308663224326,12.743402180149168
2026年2月22日,88,5905,0.014902624894157494,13.062150719729043
2026年4月10日,87,6491,0.013403173625019258,12.519642582036667
2026年3月5日,189,9950,0.01899497487437186,9.856884422110554
2026年4月17日,112,7104,0.015765765765765764,11.54321509009009
2026年3月20日,97,6441,0.015059773327123117,11.605651296382549
2026年4月22日,133,6150,0.0216260162601626,12.782764227642277
2026年3月19日,119,8234,0.014452271071168326,11.78066553315521
2026年4月6日,112,6707,0.01669897122409423,12.191739973162367
2026年2月10日,104,6591,0.015779092702169626,14.837202245486269
2026年3月6日,142,8970,0.015830546265328874,10.838127090301004
2026年3月1日,96,7819,0.012277784882977363,10.641770047320628
2026年3月18日,179,9231,0.01939118188711949,11.480662983425415
2026年4月8日,132,6901,0.019127662657585857,11.65005071728735
2026年4月5日,83,4767,0.017411369834277324,12.828403608139292
2026年3月10日,145,8391,0.017280419497080205,11.082946013585985
2026年2月23日,126,6598,0.019096695968475297,11.818884510457714
2026年4月21日,126,5883,0.021417644059153494,12.409484956654769
2026年2月26日,158,7268,0.021739130434782608,10.607044578976335
2026年3月23日,99,5507,0.017977120029053932,13.187397857272563
2026年3月17日,211,11194,0.01884938359835626,11.187868500982669
2026年3月11日,197,9218,0.021371230201779126,10.78411802994142
2026年1月4日,67,3144,0.021310432569974554,19.72550890585242
2026年4月9日,113,6120,0.0184640522875817,12.22173202614379
2026年3月3日,154,10664,0.014441110277569393,10.520723930982745
2026年3月14日,116,8236,0.014084507042253521,11.575643516270034
2026年2月25日,141,7204,0.01957245974458634,11.956551915602443
2026年2月27日,144,7559,0.019050138907262867,10.310887683556025
2026年3月13日,157,8615,0.018224027858386536,11.783052814857806
2026年2月9日,139,7356,0.018896139206090266,12.767400761283307
2026年4月18日,69,6484,0.010641579272054287,11.986428130783468
2026年4月4日,67,4668,0.014353041988003428,14.598971722365038
2026年4月20日,129,7166,0.018001674574379012,10.183226346636896
2026年4月1日,96,4003,0.02398201348988259,12.59580314763927
2026年4月25日,73,4492,0.016251113089937666,12.554764024933215
2026年4月13日,148,8803,0.01681245030103374,12.9374077019198
2026年4月11日,74,6158,0.012016888600194868,14.55553751217928
2026年4月23日,127,5894,0.02154733627417713,12.934340006786563
2026年2月19日,74,6332,0.011686670878079595,10.692198357548957
2026年3月15日,149,8895,0.016750983698707138,12.022596964586846
2026年2月24日,116,6887,0.01684332800929287,12.468418759982576
2026年3月24日,109,5272,0.0206752655538695,13.430386949924127
2026年3月31日,111,4482,0.024765729585006693,12.018072289156626
2026年2月20日,75,6116,0.012262916939175932,11.016677567037279
2026年4月3日,77,4733,0.01626875132051553,13.947390661314177
2026年4月16日,135,8020,0.01683291770573566,13.283416458852868
2026年4月24日,105,5170,0.020309477756286266,11.892649903288202
2026年3月7日,115,8175,0.014067278287461774,11.255779816513762
2026年3月16日,228,10612,0.02148511119487373,10.999905767056163
2026年3月21日,51,4962,0.010278113663845224,14.261386537686416
2026年4月2日,86,4448,0.01933453237410072,14.135341726618705
2026年3月8日,100,7705,0.012978585334198572,10.423621025308242
2026年3月25日,111,5285,0.021002838221381267,14.20643330179754
2026年3月28日,56,4403,0.012718600953895072,13.279809220985692
2026年2月11日,111,5792,0.019164364640883978,13.327866022099448
2026年3月2日,131,10091,0.012981865028242988,10.285898325240312
2026年3月22日,56,5291,0.010584010584010584,14.505197505197506
2026年1月5日,105,3550,0.029577464788732393,17.452394366197183
2026年3月30日,100,4831,0.0206996481059822,12.248602773752847
2026年1月22日,121,4903,0.024678768101162554,19.160921884560473
2026年3月27日,60,4630,0.012958963282937365,15.08207343412527
2026年2月12日,112,5334,0.02099737532808399,13.549118860142482
2026年2月21日,71,6078,0.011681474169134584,11.642152023692004
2025年12月30日,75,3336,0.022482014388489208,21.038369304556355
2026年3月26日,97,5106,0.01899725812769291,14.533294163728947
2026年1月26日,149,5043,0.02954590521514971,18.500099147332936
2025年12月17日,54,2629,0.020540129326740205,16.459490300494487
2026年2月28日,128,7077,0.018086759926522537,10.529602939098488
2025年12月29日,54,2932,0.018417462482946793,20.23942701227831
2026年2月15日,77,4997,0.015409245547328396,13.413448068841305
2026年2月16日,97,5061,0.01916617269314365,11.774550484094053
2026年2月17日,120,5366,0.02236302646291465,12.654118524040253
2026年2月18日,90,6067,0.014834349761002143,12.095928795121146
2025年12月22日,64,2904,0.02203856749311295,20.07162534435262
2026年1月29日,151,5332,0.028319579894973742,15.222430607651914
2025年12月27日,52,2375,0.021894736842105262,19.72757894736842
2025年12月14日,67,2629,0.025484975275770254,20.85659946747813
2026年1月23日,69,4185,0.016487455197132617,19.210752688172043
2026年2月3日,151,5255,0.02873453853472883,12.929781160799239
2026年1月9日,102,4732,0.021555367709213864,15.951394759087067
2026年1月12日,133,3510,0.037891737891737894,18.03846153846154
2026年1月30日,120,5838,0.020554984583761562,15.602261048304214
2025年12月31日,46,2393,0.0192227329711659,19.73506059339741
2026年1月13日,101,3508,0.02879133409350057,19.12599771949829
2026年1月24日,74,4101,0.01804437941965374,19.88344306266764
2025年12月16日,65,3000,0.021666666666666667,22.124666666666666
2026年1月21日,114,4925,0.02314720812182741,18.841218274111675
2026年1月11日,83,3583,0.023164945576332682,17.213229137594194
2025年12月25日,62,2345,0.026439232409381664,21.31257995735608
2026年1月2日,64,6252,0.010236724248240563,11.632757517594369
2026年1月20日,116,4120,0.02815533980582524,19.86480582524272
2025年12月19日,55,2548,0.021585557299843013,19.413265306122447
2026年2月1日,94,6597,0.014248901015613158,15.030619978778233
2026年1月10日,57,3260,0.017484662576687116,17.475766871165643
2026年2月13日,70,4673,0.014979670447250161,11.77123903274128
2025年12月18日,60,2588,0.023183925811437404,17.24922720247295
2026年1月28日,140,5309,0.026370314560180824,16.440760971934452
2026年2月2日,118,6401,0.018434619590688955,14.547414466489611
2025年12月12日,50,2118,0.023607176581680833,17.299338999055713
2025年12月4日,40,1749,0.022870211549456832,16.66781017724414
2025年12月9日,52,2370,0.021940928270042195,25.3957805907173
2026年1月18日,97,3702,0.026202052944354404,18.480280929227444
2026年2月5日,138,5767,0.023929252644355817,15.575342465753424
2026年1月14日,108,3379,0.0319621189701095,17.946137910624444
2026年1月19日,118,4525,0.026077348066298342,20.441767955801105
2025年12月23日,73,2724,0.026798825256975037,21.247063142437593
2025年12月13日,40,2095,0.01909307875894988,19.957517899761335
2026年2月4日,162,5087,0.03184588165913112,12.553764497739335
2025年12月21日,39,2577,0.015133876600698487,19.924718665114476
2025年12月28日,65,2549,0.02550019615535504,18.95880737544135
2026年1月6日,100,4155,0.024067388688327317,12.215643802647413
2026年1月17日,67,3403,0.01968851013811343,18.13311783720247
2025年12月24日,45,2354,0.019116397621070518,21.756584536958368
2026年1月16日,92,3800,0.024210526315789474,18.03157894736842
2026年2月6日,109,4915,0.022177009155645983,13.008545269582909
2026年1月25日,92,3925,0.023439490445859874,19.41171974522293
2026年1月27日,145,5118,0.028331379445095742,18.749316139116843
2025年12月26日,55,2701,0.020362828582006665,18.335061088485745
2026年1月31日,83,5058,0.01640964808224595,17.031633056544088
2026年1月7日,89,3051,0.02917076368403802,18.87315634218289
2026年1月1日,59,4762,0.012389752204955902,12.834943301133977
2025年12月20日,33,2374,0.013900589721988205,22.268744734625106
2026年1月3日,51,2732,0.018667642752562226,17.69143484626647
2026年1月15日,97,3553,0.02730087250211089,16.379679144385026
2026年2月8日,85,5034,0.01688518077075884,11.8611442193087
2025年12月7日,41,1916,0.02139874739039666,23.49686847599165
2025年12月11日,57,1949,0.029245767060030785,19.621344279117498
2026年2月7日,94,5227,0.01798354696766788,14.96556342070021
2026年1月8日,74,4691,0.01577488808356427,19.81837561287572
2025年12月8日,48,2219,0.021631365479945923,23.40829202343398
2025年12月6日,36,1657,0.02172601086300543,23.696439348219673
2025年12月10日,50,2171,0.023030861354214647,17.866421004145554
2025年12月5日,37,1747,0.021179164281625643,20.928448769318834
2025年12月3日,38,1630,0.023312883435582823,16.928220858895706
2025年12月2日,53,1842,0.028773072747014114,15.851791530944626
2025年12月1日,51,1943,0.02624806999485332,14.567678847143592
