Date,Url Clicks,Impressions,URL CTR,Average Position
2026年4月13日,148,8803,0.01681245030103374,12.9374077019198
2026年4月16日,135,8020,0.01683291770573566,13.283416458852868
2026年4月22日,133,6150,0.0216260162601626,12.782764227642277
2026年4月8日,132,6901,0.019127662657585857,11.65005071728735
2026年4月20日,129,7166,0.018001674574379012,10.183226346636896
2026年4月21日,126,5883,0.021417644059153494,12.409484956654769
2026年4月15日,125,7659,0.01632066849458154,12.602689646167907
2026年4月7日,123,7361,0.016709686183942397,12.498845265588914
2026年4月14日,120,8050,0.014906832298136646,12.605341614906832
2026年4月9日,113,6120,0.0184640522875817,12.22173202614379
2026年4月6日,112,6707,0.01669897122409423,12.191739973162367
2026年4月17日,112,7104,0.015765765765765764,11.54321509009009
2026年3月31日,111,4482,0.024765729585006693,12.018072289156626
2026年4月19日,106,6568,0.016138855054811205,11.571559074299634
2026年3月30日,100,4831,0.0206996481059822,12.248602773752847
2026年4月12日,100,6972,0.01434308663224326,12.743402180149168
2026年3月26日,97,5106,0.01899725812769291,14.533294163728947
2026年4月1日,96,4003,0.02398201348988259,12.59580314763927
2026年4月10日,87,6491,0.013403173625019258,12.519642582036667
2026年4月2日,86,4448,0.01933453237410072,14.135341726618705
2026年4月5日,83,4767,0.017411369834277324,12.828403608139292
2026年4月3日,77,4733,0.01626875132051553,13.947390661314177
2026年4月11日,74,6158,0.012016888600194868,14.55553751217928
2026年3月29日,69,3923,0.017588580168238593,15.208513892429263
2026年4月18日,69,6484,0.010641579272054287,11.986428130783468
2026年4月4日,67,4668,0.014353041988003428,14.598971722365038
2026年3月27日,60,4630,0.012958963282937365,15.08207343412527
2026年3月28日,56,4403,0.012718600953895072,13.279809220985692
